PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;15/10/25 10h08;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;15/10/25 10h08;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 17h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VD2;15/10/25 10h08;26_20_08_Match_measured_inv_6_2Uc19Hay;
Simulation date;;15/10/25 11h12

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.8444;0;0.8444;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.8444;0;0.8444;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.8444;0;0.8444;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.8444;0;0.8444;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.126;0.8903;1.2292;-90;-1.2292;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.8444;0;0.8444;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;72.988;7.6727;10.857;-90;-10.857;13.909;13.803;0.1056;19;7.35;0;0.2515;13.671;0.02;0;0.0254;13.968;0;13.968;0.2515;0.02;13.671;0.0254;0.018;0.9806;0;0.0018;13.835;0.1334;0;0;0.1125;0.0209;13.206;0.5868;0.0373;0.003;0.5455;0.001;13.793;0.0415;0.0008;0.0001;0.0407;0;13.211;0.2134;0.017;12.973;0.0035;8.2135;6.538;2.5612;0.0054;0.0993;1.4288;0.0046;1.5226;0;1;0;0;1.0043;0.9905;1;1;0.9918;0.1754;0.9575;0.8511;1;0.9596;0.7776;0.997;0.997;1;0.997;0.997;0.9455;0.9489;0.136;0.0351;0.0359;0.0002;0.0062;-0.0007;0.0002;0.0007;0.0002;0;0;0.088;0;-0.0622;0;0;0;0;0;0;0;0;0;0;0;0;0.0006;0;0.0284;0.0284;0;19.527;19.527;0.5264;0.0399;29.171;971.96;1;0.0026;0.0026;0;0;0;0;0;0;0.0258;-0.0622;0;15.198;17.599;-33.357;-38.627;90.886;90.886;0.3352;0.2709;-0.5946;0.0643;0.8655;0.1918;2.5819;0;8.213;0;0
01/01/21 06:00;18.633;-105.43;40.492;19.279;32.523;-90;-32.523;44.597;44.202;0.3951;19.16;7.86;0;0.9405;40.701;0.0921;0;0.7134;42.447;0;42.447;0.9405;0.0921;40.701;0.7134;0.0222;0.9757;0;0.0168;39.787;2.6599;0;0;2.0337;0.6262;38.397;1.2701;0.0067;0.0007;1.2493;0.0134;39.667;0.1194;0.0028;0.0003;0.116;0.0003;38.627;0.931;0.0912;37.302;0.0734;27.314;21.742;9.0704;0.8147;0.3461;4.9791;0.2294;4.5105;0;1;0;0;0.9518;0.9373;1;1;0.95;0.1221;0.968;0.9928;1;0.9676;0.8454;0.997;0.997;1;0.997;0.997;0.9046;0.9165;0.103;0.1066;0.1063;0.0006;0.0107;-0.0017;0.0007;0.0024;0.0008;0;0;0.088;0;-0.0014;0;0;0;0;0;0;0;0;0;0;0;0;0.0019;0.0001;0.0909;0.0909;0;20.666;20.666;1.506;0.0392;89.442;1015.9;1;0.0043;0.0043;0;0;0;0;0;0;0.0866;-0.0014;0;16.028;18.56;-0.2445;-0.2831;95.318;95.318;1.0187;0.8683;-0.0132;0.1505;0.8815;0.1477;0.8653;0;27.312;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;156.98;16.607;0;12.135;241.05;0;241.05;55.327;16.607;156.98;12.135;0.2295;0.7016;0;0.0503;210.68;30.368;0;0;19.134;11.234;205.16;4.8939;0.0129;0.0039;4.8258;0.0512;210.05;0.632;0.166;0.0498;0.4135;0.0027;209.83;55.148;16.553;132.61;0.8471;142.7;113.59;52.843;24.899;2.7954;40.211;4.672;18.108;0;1;0;0;0.9863;0.874;1;1;0.8781;0.0742;0.9767;0.9998;1;0.9649;0.943;0.997;0.997;1;0.997;0.997;0.8511;0.8447;0.0698;0.6055;0.6009;0.0036;0.0141;0.0065;0.004;0.0143;0.0065;0;0;0.088;0;0.4414;0;0;0;0;0;0;0;0;0;0;0;0;0.0116;0.0012;0.5391;0.5391;0;28.014;28.014;7.954;0.0388;512.27;1052.3;1;0.0097;0.0097;0;0;0;0;0;0;0.5294;0.4414;0;16.743;19.389;13.709;15.875;98.202;98.202;5.7852;5.1508;4.2173;0.6344;0.9334;0.1097;0.1613;0.729;135.3;0.6481;0
