Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
182,0,0,1,Night,,167.5869903564453,-77.58699035644531,162.60769653320312,0,0,0,0,9.389795303344727,3.589900016784668,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,9.390008926391602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,0,1,Night,,159.6260223388672,-69.62601470947266,120.68915557861328,0,0,0,0,8.100091934204102,3.619999885559082,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,8.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2,0,1,Night,,148.18946838378906,-58.189476013183594,102.73944854736328,0,0,0,0,6.000085353851318,3.340100049972534,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.999993801116943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,3,0,1,Night,,136.02720642089844,-46.02720642089844,92.06080627441406,0,0,0,0,5.099999904632568,3.130000114440918,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.099999904632568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,4,0,1,Night,,123.77613067626953,-33.77613067626953,83.79071807861328,0,0,0,0,7.549706935882568,3.2100000381469727,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,7.550012111663818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,5,0,1,Night,,111.70824432373047,-21.7082462310791,76.26748657226562,0,0,0,0,6.230096340179443,3.2200000286102295,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.230004787445068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,6,0,1,Night,,100.04340362548828,-10.043404579162598,68.6745834350586,0,0,0,0,6.999902248382568,3.4700000286102295,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.999993801116943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,7,0,1,Day,,86.83179473876953,3.1682045459747314,58.93107604980469,29.302000045776367,29.086181640625,3.9049999713897705,0.9926347136497498,7.489892482757568,4.050099849700928,=NA(),=NA(),14.592965126037598,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,5.322892189025879,82.27791595458984,32.55999755859375,30.78499984741211,1.774999976158142,8.861261367797852,154.16000366210938,163.52000427246094,162.3475799560547,39.130313873291016,0.2593082785606384,0.25718122720718384,44.168357849121094,0.2843972444534302,0.00099762505851686,0,0.00003993749851360917,0,-9.360000610351562,1.17242431640625
182,8,0,1,Day,,78.64227294921875,11.357728958129883,51.042701721191406,102.4000015258789,99.36741638183594,15.39900016784668,0.9703848958015442,10.020013809204102,4.600100040435791,=NA(),=NA(),4.960639476776123,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,22.96576690673828,61.393367767333984,125.96499633789062,118.20500183105469,7.760000228881836,15.158136367797852,694.4000244140625,717.1400146484375,716.4647216796875,40.128501892089844,1.1158901453018188,1.0935332775115967,45.71965789794922,1.1843301057815552,0.004152124747633934,0,0.00015818749670870602,0,-22.739990234375,0.67529296875
182,9,0,1,Day,,69.90576934814453,20.0942325592041,39.97867965698242,55.69300079345703,55.48851013183594,0.5952000021934509,0.9963282346725464,10.219995498657227,4.96999979019165,=NA(),=NA(),2.8910162448883057,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,60,46.02567672729492,50.93000030517578,37.94000244140625,12.994999885559082,12.376886367797852,247.22999572753906,258.5299987792969,250.64488220214844,39.88033676147461,0.39257413148880005,0.3557688593864441,44.411495208740234,0.44453397393226624,0.001339937443844974,0,0.0002758124901447445,0,-11.300003051757812,7.8851165771484375
