Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
182,0,0,1,Night,,167.5869903564453,-77.58699035644531,162.60769653320312,0,0,0,0,9.389795303344727,3.589900016784668,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,9.390008926391602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,0,1,Night,,159.6260223388672,-69.62601470947266,120.68915557861328,0,0,0,0,8.100091934204102,3.619999885559082,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,8.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2,0,1,Night,,148.18946838378906,-58.189476013183594,102.73944854736328,0,0,0,0,6.000085353851318,3.340100049972534,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.999993801116943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,3,0,1,Night,,136.02720642089844,-46.02720642089844,92.06080627441406,0,0,0,0,5.099999904632568,3.130000114440918,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.099999904632568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,4,0,1,Night,,123.77613067626953,-33.77613067626953,83.79071807861328,0,0,0,0,7.549706935882568,3.2100000381469727,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,7.550012111663818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,5,0,1,Night,,111.70824432373047,-21.7082462310791,76.26748657226562,0,0,0,0,6.230096340179443,3.2200000286102295,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.230004787445068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,6,0,1,Night,,100.04340362548828,-10.043404579162598,68.6745834350586,0,0,0,0,6.999902248382568,3.4700000286102295,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.999993801116943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,7,0,1,Day,,86.83179473876953,3.1682045459747314,58.93107604980469,29.302000045776367,29.086181640625,3.9049999713897705,0.9926347136497498,7.489892482757568,4.050099849700928,=NA(),=NA(),14.592965126037598,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,5.322892189025879,82.27791595458984,32.55999755859375,30.78499984741211,1.774999976158142,8.858758926391602,154.08999633789062,163.44000244140625,162.43658447265625,39.03704833984375,0.26007139682769775,0.2569338381290436,44.11858367919922,0.2846396863460541,0.000970062508713454,0,0.000038437501643784344,0,-9.350006103515625,1.00341796875
182,8,0,1,Day,,78.64227294921875,11.357728958129883,51.042701721191406,102.4000015258789,99.36741638183594,15.39900016784668,0.9703848958015442,10.020013809204102,4.600100040435791,=NA(),=NA(),4.960639476776123,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,22.96576690673828,61.393367767333984,125.96499633789062,118.20500183105469,7.760000228881836,15.148767471313477,693.8599853515625,716.6699829101562,716.6487426757812,40.02693557739258,1.1190013885498047,1.0996379852294922,45.66944885253906,1.1831963062286377,0.0040341876447200775,0,0.00015206249372567981,0,-22.80999755859375,0.021240234375
182,9,0,1,Day,,69.90576934814453,20.0942325592041,39.97867965698242,55.69300079345703,55.48851013183594,0.5952000021934509,0.9963282346725464,10.219995498657227,4.96999979019165,=NA(),=NA(),2.8910162448883057,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,60,46.02567672729492,50.93000030517578,37.94000244140625,12.994999885559082,12.387506484985352,245.8000030517578,257.05999755859375,252.4173126220703,39.48739242553711,0.39938077330589294,0.35858187079429626,44.35281753540039,0.44004368782043457,0.0012981250183656812,0,0.00026418748893775046,0,-11.259994506835938,4.6426849365234375
