PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;17/11/25 10h52;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;17/11/25 10h52;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 17h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VDF;18/11/25 21h33;24_10_08_Match_measured_inv_13_1Uc22Uv1.3Hay;
Simulation date;;19/11/25 15h24

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9118;0;0.9118;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9118;0;0.9118;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9118;0;0.9118;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9118;0;0.9118;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.091;0.8903;1.2693;-90;-1.2693;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.9118;0;0.9118;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;72.656;7.6727;11.221;-90;-11.221;13.909;13.803;0.1056;19;7.35;0;0.2562;13.663;0.0204;0;0.0271;13.966;0;13.966;0.2562;0.0204;13.663;0.0271;0.0183;0.9802;0;0.0019;13.829;0.1378;0;0;0.116;0.0218;13.204;0.5831;0.0367;0.0029;0.5423;0.0011;13.787;0.0415;0.0008;0.0001;0.0406;0;13.209;0.2188;0.0174;12.964;0.0041;8.2164;6.5402;2.5631;0.0061;0.0993;1.4288;0.005;1.522;0;1;0;0;1.0042;0.9901;1;1;0.9915;0.1943;0.9577;0.8564;1;0.9598;0.7816;0.997;0.997;1;0.997;0.997;0.9454;0.9488;0.1514;0.0325;0.0331;0.0002;0.0056;-0.0007;0.0002;0.0007;0.0002;0;0;0.088;0;-0.0642;0;0;0;0;0;0;0;0;0;0;0;0;0.0006;0;0.0263;0.0263;0;19.316;19.316;0.3159;0.0239;27.044;974.15;1;0.0025;0.0025;0;0;0;0;0;0;0.0238;-0.0642;0;15.449;17.89;-37.647;-43.594;90.346;90.346;0.3352;0.2718;-0.6624;0.0634;0.9343;0.189;2.7872;0;8.2158;0;0
01/01/21 06:00;18.633;-105.43;39.204;19.279;33.924;-90;-33.924;44.597;44.202;0.3951;19.16;7.86;0;0.9583;40.405;0.0939;0;0.7743;42.231;0;42.231;0.9583;0.0939;40.405;0.7743;0.0227;0.9751;0;0.0183;39.458;2.7733;0;0;2.1056;0.6677;38.083;1.2569;0.0061;0.0006;1.2359;0.0142;39.34;0.1184;0.0029;0.0003;0.1149;0.0003;38.337;0.9493;0.093;36.949;0.092;27.401;21.811;9.1527;0.9351;0.3514;5.0545;0.2539;4.4708;0;1;0;0;0.9469;0.9343;1;1;0.9479;0.1377;0.9681;0.9936;1;0.9676;0.866;0.997;0.997;1;0.997;0.997;0.9018;0.9145;0.1189;0.0982;0.0977;0.0006;0.0097;-0.0018;0.0006;0.0022;0.0007;0;0;0.088;0;-0.0083;0;0;0;0;0;0;0;0;0;0;0;0;0.0018;0.0001;0.0838;0.0838;0;20.038;20.038;0.8783;0.0231;82.179;1019.3;1;0.0041;0.0041;0;0;0;0;0;0;0.0797;-0.0083;0;16.246;18.812;-1.6147;-1.8697;95.112;95.112;1.0136;0.8644;-0.0859;0.1492;0.9503;0.1472;0.9376;0;27.399;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;156.98;16.607;0;12.135;241.05;0;241.05;55.327;16.607;156.98;12.135;0.2295;0.7016;0;0.0503;211.42;29.632;0;0;18.676;10.956;205.88;4.9078;0.0129;0.0039;4.8334;0.0575;210.78;0.6343;0.166;0.0498;0.4149;0.0035;210.55;55.148;16.553;133.06;1.1177;142.7;113.59;52.843;24.899;2.7954;40.211;4.672;18.108;0;1;0;0;0.9863;0.8771;1;1;0.881;0.0971;0.9767;0.9998;1;0.9649;0.9511;0.997;0.997;1;0.997;0.997;0.8541;0.8476;0.0921;0.5607;0.5568;0.0034;0.013;-0.0003;0.0038;0.0134;0.006;0;0;0.088;0;0.4082;0;0;0;0;0;0;0;0;0;0;0;0;0.0108;0.001;0.5057;0.5057;0;24.84;24.84;4.7796;0.0232;474.27;1066.2;1;0.0095;0.0095;0;0;0;0;0;0;0.4962;0.4082;0;17.181;19.896;13.869;16.061;98.127;98.127;5.7852;5.2177;4.212;0.5675;1.0058;0.0981;0.1739;0.7281;135.3;0.6472;0
