PVSYST 8.0.15
;File;File date;Description
Project;25_08_25_Bowen Solar Farm 2021 - per inverter.PRJ;25/09/25 23h03;25_08_25_Bomen PVSyst - 2021 - per inverter;
Geographical Site;Wagga Wagga;25/09/25 23h03;Wagga Wagga;Australia;Australia;;
Weather data;Bomen Solar Farm 2021 with wind speed.MET;05/09/25 16h07;Bomen Solar Farm 2021 wind;Custom file;Imported;
Simulation variant;25_08_25_Bowen Solar Farm 2021 - per inverter.VCV;26/09/25 19h34;24_10_08_Match_measured_inv_4_1Uc10Perez;
Simulation date;;26/09/25 19h50

Simulation:;Hourly values; from 01/01/21; to 30/12/21 

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;T_Amb;WindVel;PrecWat;BeamTrp;DifITrp;CircTrp;HBndTrp;AlbTrp;GlobTrp;GincThr;GlobInc;BeamInc;CircInc;DifSInc;Alb_Inc;Bm_Gl;DifA_Gl;DifS_Gl;Alb_Gl;GlobShd;ShdLoss;ShdBLss;ShdCLss;ShdDLss;ShdALss;GlobIAM;IAMLoss;IAMBLss;IAMCLss;IAMDLss;IAMALss;GlobSlg;SlgLoss;SlgBLss;SlgCLss;SlgDLss;SlgALss;GlobEff;BeamEff;CircEff;DiffEff;Alb_Eff;GlobGnd;ReflLss;BkVFLss;DifSBak;BackShd;GlobBak;ReflFrt;ReflBck;BmIncBk;BmSFBak;BIAMFBk;BeamBak;FTransp;FShdGl;FShdBm;FShdCrc;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMCrc;FIAMDif;FIAMAlb;FSlgGl;FSlgBm;FSlgCrc;FSlgDif;FSlgAlb;FIAMShd;FEffDif;FEffAlb;EArrRef;EArrNom;DegrLss;GIncLss;TempLss;ModQual;LIDLoss;MismBak;UnavLss;IL_Nigh;Aux_Lss;EACOhmL;EUseful;TotInstCost;ModuleCost;InverterCost;BatteryCost;OwnFunds;TotLoan;AvgOpCost_yr;LCOE;NPV;IRR;PaybackPeriod;ROI;MisLoss;OhmLoss;EArrMPP;EArray;TExtON;TArray;TArrWtd;DTArr;DTArrGl;IArray;UArray;ArrayON;InvLoss;IL_Oper;IL_Pmin;IL_Vmin;IL_Pmax;IL_Vmax;IL_Imax;Syst_ON;EOutInv;E_Grid;EDirUse;EffArrR;EffArrC;EffSysR;EffSysC;EffInvB;EffInvR;Yr;Ya;Yf;Lc;Ls;Lcr;Lsr;PR;DiffGnd;PRBifi;OptimizerCost
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;m/s;m;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;ratio;ratio;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;ratio;ratio;W/m�;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;ratio;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;캜;캜;캜;캜;캜;A;V;Hour;MW;MW;MW;MW;MW;MW;MW;Hour;MW;MW;MW;%;%;%;%;%;%;kWh/m�/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;kWh/kWp/day;ratio;ratio;ratio;W/m�;ratio;ratio

01/01/21 00:00;0;0;90;0;0;90;0;0;0;0;19.55;7.6599;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.55;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 01:00;0;0;90;0;0;90;0;0;0;0;19.25;7.3299;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19.25;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 02:00;0;0;90;0;0;90;0;0;0;0;18.96;7.1501;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.96;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 03:00;0;0;90;0;0;90;0;0;0;0;18.92;6.6999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.92;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 04:00;0.7871;-117.86;88.091;0.8903;1.2693;-90;-1.2693;0;0;0;18.9;6.2901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0004;0.088;0;-0.0884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18.9;0;0;0;0;0.0004;0;0;0;0;0;0;0;-0.0004;-0.0884;0;0;0;0;0;0;0;0;0;-0.7481;0;0.7481;1;1;0;0;0;0
01/01/21 05:00;7.0605;-113.17;72.656;7.6727;11.221;-90;-11.221;13.909;13.803;0.1056;19;7.35;0;0.2562;14.421;-1.837;-0.2326;0.0271;12.635;0;12.635;0.2562;-1.837;14.189;0.0271;0.0203;1.1251;0;-0.0163;12.491;0.1439;0;0;0.1218;0.0221;12.116;0.3378;0.0367;-0.263;0.563;0.0011;12.454;0.0375;0.0008;-0.0055;0.0422;0;12.121;0.2188;-1.5685;13.462;0.0039;8.6689;6.9004;2.7037;-0.0043;0.1041;1.498;0.0053;1.6065;0;1;0;0;0.9084;0.9886;1;1;0.9916;1;0.9729;0.8564;1;0.9605;1;0.997;0.997;1;0.997;1;0.9589;0.9495;1;0.0358;0.0375;0.0002;0.0068;-0.0007;0.0002;0.0008;0.0002;0;0;0.088;0;-0.0612;0;0;0;0;0;0;0;0;0;0;0;0;0.0006;0;0.0294;0.0294;0;19.613;19.613;0.6128;0.0506;30.38;967.51;1;0.0026;0.0026;0;0;0;0;0;0;0.0268;-0.0612;0;15.43;17.868;-32.132;-37.208;91.16;91.16;0.3032;0.2488;-0.5181;0.0544;0.7669;0.1795;2.5291;0;8.6721;0;0
01/01/21 06:00;18.633;-105.43;39.204;19.279;33.924;-90;-33.924;44.597;44.202;0.3951;19.16;7.86;0;0.9583;41.642;-3.186;-1.9884;0.7743;38.2;0;38.2;0.9583;-3.186;39.654;0.7743;0.0251;1.0583;0;-0.0318;35.43;2.7705;0;0;2.0937;0.6768;34.113;1.2105;0.0061;-0.0204;1.2113;0.0135;35.324;0.1063;0.0029;-0.0096;0.1127;0.0003;34.375;0.9493;-3.156;36.236;0.0837;28.234;22.474;9.4304;0.4691;0.33;4.7469;0.2617;4.6078;0;1;0;0;0.8566;0.9275;1;1;0.9497;1;0.9657;0.9936;1;0.9693;1;0.997;0.997;1;0.997;1;0.893;0.9178;1;0.1083;0.1074;0.0006;0.0114;-0.0016;0.0007;0.0024;0.0008;0;0;0.088;0;-0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0.0019;0.0001;0.0911;0.0911;0;20.858;20.858;1.6978;0.0498;90.164;1010;1;0.0042;0.0042;0;0;0;0;0;0;0.0868;-0.0012;0;15.813;18.311;-0.2005;-0.2321;95.365;95.365;0.9168;0.7709;-0.0098;0.1459;0.7807;0.1592;0.8515;0;28.238;0;0
01/01/21 07:00;30.638;-97.905;6.7961;30.879;59.121;-90;-59.121;244.4;216;28.395;20.06;7.36;0;55.327;135.28;72.504;-5.5325;12.135;269.71;0;269.71;55.327;72.504;129.74;12.135;0.2051;0.526;0;0.0245;242.94;26.766;0;0;15.639;11.127;238.14;4.0725;0.0129;0.017;3.9898;0.0528;242.21;0.7288;0.166;0.2175;0.3423;0.003;242.41;55.148;72.27;109.77;0.9521;129.75;103.28;47.707;18.729;2.3096;33.223;4.2666;16.804;0;1;0;0;1.1036;0.9008;1;1;0.8844;-0.6853;0.9832;0.9998;1;0.9666;1;0.997;0.997;1;0.997;1;0.883;0.8522;-0.6913;0.7647;0.7572;0.0046;0.0152;0.0184;0.005;0.0179;0.006;0;0;0.088;0;0.5748;0;0;0;0;0;0;0;0;0;0;0;0;0.0144;0.0016;0.6742;0.6742;0;31.778;31.778;11.718;0.0492;647.25;1041.6;1;0.0114;0.0114;0;0;0;0;0;0;0.6628;0.5748;0;16.58;19.2;14.136;16.369;98.311;98.311;6.473;5.707;4.8657;0.766;0.8413;0.1183;0.13;0.7517;116.59;0.6882;0
